stim_pos_aligned,div_pos_aligned,difficulty
-0.38,0.0,False
-0.38,-0.0,False
-0.34,0.0,False
-0.34,-0.0,False
-0.3,0.0,False
-0.3,-0.0,False
-0.26,0.0,False
-0.26,-0.0,False
-0.22,0.0,False
-0.22,-0.0,False
-0.18,0.0,False
-0.18,-0.0,False
-0.14,0.0,False
-0.14,-0.0,False
-0.1,0.0,False
-0.1,-0.0,False
-0.06,0.0,True
-0.06,-0.0,True
-0.02,0.0,True
-0.02,-0.0,True
0.02,0.0,True
0.02,-0.0,True
0.06,0.0,True
0.06,-0.0,True
0.1,0.0,False
0.1,-0.0,False
0.14,0.0,False
0.14,-0.0,False
0.18,0.0,False
0.18,-0.0,False
0.22,0.0,False
0.22,-0.0,False
0.26,0.0,False
0.26,-0.0,False
0.3,0.0,False
0.3,-0.0,False
0.34,0.0,False
0.34,-0.0,False
0.38,0.0,False
0.38,-0.0,False
-0.38,-0.2,False
-0.38,-0.2,False
-0.38,-0.2,False
-0.38,-0.2,False
-0.34,-0.2,False
-0.34,-0.2,False
-0.34,-0.2,False
-0.34,-0.2,False
-0.3,-0.2,True
-0.3,-0.2,True
-0.3,-0.2,True
-0.3,-0.2,True
-0.26,-0.2,True
-0.26,-0.2,True
-0.26,-0.2,True
-0.26,-0.2,True
-0.22,-0.2,True
-0.22,-0.2,True
-0.22,-0.2,True
-0.22,-0.2,True
-0.18,-0.2,True
-0.18,-0.2,True
-0.14,-0.2,True
-0.14,-0.2,True
-0.1,-0.2,False
-0.1,-0.2,False
-0.06,-0.2,False
-0.06,-0.2,False
-0.02,-0.2,False
-0.02,-0.2,False
0.02,-0.2,False
0.02,-0.2,False
0.06,-0.2,False
0.06,-0.2,False
0.1,-0.2,False
0.1,-0.2,False
0.14,-0.2,False
0.14,-0.2,False
0.18,-0.2,False
0.18,-0.2,False
-0.18,0.2,False
-0.18,0.2,False
-0.14,0.2,False
-0.14,0.2,False
-0.1,0.2,False
-0.1,0.2,False
-0.06,0.2,False
-0.06,0.2,False
-0.02,0.2,False
-0.02,0.2,False
0.02,0.2,False
0.02,0.2,False
0.06,0.2,False
0.06,0.2,False
0.1,0.2,False
0.1,0.2,False
0.14,0.2,True
0.14,0.2,True
0.18,0.2,True
0.18,0.2,True
0.22,0.2,True
0.22,0.2,True
0.22,0.2,True
0.22,0.2,True
0.26,0.2,True
0.26,0.2,True
0.26,0.2,True
0.26,0.2,True
0.3,0.2,True
0.3,0.2,True
0.3,0.2,True
0.3,0.2,True
0.34,0.2,False
0.34,0.2,False
0.34,0.2,False
0.34,0.2,False
0.38,0.2,False
0.38,0.2,False
0.38,0.2,False
0.38,0.2,False
-0.38,0.0,False
-0.38,-0.0,False
-0.34,0.0,False
-0.34,-0.0,False
-0.3,0.0,False
-0.3,-0.0,False
-0.26,0.0,False
-0.26,-0.0,False
-0.22,0.0,False
-0.22,-0.0,False
-0.18,0.0,False
-0.18,-0.0,False
-0.14,0.0,False
-0.14,-0.0,False
-0.1,0.0,False
-0.1,-0.0,False
-0.06,0.0,True
-0.06,-0.0,True
-0.02,0.0,True
-0.02,-0.0,True
0.02,0.0,True
0.02,-0.0,True
0.06,0.0,True
0.06,-0.0,True
0.1,0.0,False
0.1,-0.0,False
0.14,0.0,False
0.14,-0.0,False
0.18,0.0,False
0.18,-0.0,False
0.22,0.0,False
0.22,-0.0,False
0.26,0.0,False
0.26,-0.0,False
0.3,0.0,False
0.3,-0.0,False
0.34,0.0,False
0.34,-0.0,False
0.38,0.0,False
0.38,-0.0,False
-0.38,-0.2,False
-0.38,-0.2,False
-0.38,-0.2,False
-0.38,-0.2,False
-0.34,-0.2,False
-0.34,-0.2,False
-0.34,-0.2,False
-0.34,-0.2,False
-0.3,-0.2,True
-0.3,-0.2,True
-0.3,-0.2,True
-0.3,-0.2,True
-0.26,-0.2,True
-0.26,-0.2,True
-0.26,-0.2,True
-0.26,-0.2,True
-0.22,-0.2,True
-0.22,-0.2,True
-0.22,-0.2,True
-0.22,-0.2,True
-0.18,-0.2,True
-0.18,-0.2,True
-0.14,-0.2,True
-0.14,-0.2,True
-0.1,-0.2,False
-0.1,-0.2,False
-0.06,-0.2,False
-0.06,-0.2,False
-0.02,-0.2,False
-0.02,-0.2,False
0.02,-0.2,False
0.02,-0.2,False
0.06,-0.2,False
0.06,-0.2,False
0.1,-0.2,False
0.1,-0.2,False
0.14,-0.2,False
0.14,-0.2,False
0.18,-0.2,False
0.18,-0.2,False
-0.18,0.2,False
-0.18,0.2,False
-0.14,0.2,False
-0.14,0.2,False
-0.1,0.2,False
-0.1,0.2,False
-0.06,0.2,False
-0.06,0.2,False
-0.02,0.2,False
-0.02,0.2,False
0.02,0.2,False
0.02,0.2,False
0.06,0.2,False
0.06,0.2,False
0.1,0.2,False
0.1,0.2,False
0.14,0.2,True
0.14,0.2,True
0.18,0.2,True
0.18,0.2,True
0.22,0.2,True
0.22,0.2,True
0.22,0.2,True
0.22,0.2,True
0.26,0.2,True
0.26,0.2,True
0.26,0.2,True
0.26,0.2,True
0.3,0.2,True
0.3,0.2,True
0.3,0.2,True
0.3,0.2,True
0.34,0.2,False
0.34,0.2,False
0.34,0.2,False
0.34,0.2,False
0.38,0.2,False
0.38,0.2,False
0.38,0.2,False
0.38,0.2,False
